thread,ht,func,L1-dcache-load-misses,L1-dcache-loads,cycles,instructions,
1,0,fast,8173397,2666738668,2524326311,6596207894,
1,0,slow_a,8173547,2666740782,2526472133,6596201024,
1,0,slow_b,8206164,1161460735,3275238904,4555146680,
1,0,slow_c,8283187,1661894690,9910461359,5056403916,
1,0,slow_d,8472330,4663070219,26448454672,10559912730,
1,0,slow_e,501634545,1475115493,19665301222,4652379089,
1,0,slow_f,8177792,192530667,792628883,2148345950,
2,1,fast,8220278,2666558339,2807150488,6615449719,
2,1,slow_a,8220615,2666565057,2806239568,6615493698,
2,1,slow_b,16026206,1162204304,3587515868,4577731561,
2,1,slow_c,8321061,1662184627,10208330942,5077385848,
2,1,slow_d,8516230,4664196326,26697605411,10583940203,
2,1,slow_e,501687423,1475584406,20566350148,4673858778,
2,1,slow_f,8180378,193282604,1085251161,2170947751,
2,0,fast,8227296,2666521657,2817271225,6615381325,
2,0,slow_a,8225222,2666517895,2824611772,6615344528,
2,0,slow_b,35112440,1162062956,9396142424,4577058903,
2,0,slow_c,177847997,1666739916,84640701905,5091286463,
2,0,slow_d,226723938,7765178021,70214422880,22993580321,
2,0,slow_e,604042186,1475899643,31681759189,4674801753,
2,0,slow_f,8204697,193141832,1089972966,2170537622,
